School,State,Abbreviation,Points
Canterbury HS,Indiana,IN,138
Canton HS,Texas,TX,69
Cape Elizabeth HS,Maine,ME,100
Capital HS,West Virginia,WV,0
Carbon HS,Utah,UT,91
Cardinal Mooney HS,Ohio,OH,213
Carl Junction HS,Missouri,MO,92
Carl Sandburg HS,Illinois,IL,108
Carlsbad HS,California,CA,460
Carmel HS,Indiana,IN,51
Carroll HS,Indiana,IN,67
Carroll HS - Southlake,Texas,TX,294
Carrollton HS,Georgia,GA,180
Carson HS,Nevada,NV,102
Carthage HS,Missouri,MO,286
Cary Academy,North Carolina,NC,372
Cary HS,North Carolina,NC,115
Cassville HS,Missouri,MO,124
Castle View HS,Colorado,CO,116
Catalina Foothills HS,Arizona,AZ,128
Cathedral HS,Indiana,IN,155
Catholic Memorial School,Massachusetts,MA,105
Cecilia HS,Louisiana,LA,64
Centennial HS,Colorado,CO,170
Centennial HS,Idaho,ID,140
Centennial HS,Texas,TX,191
Centerville HS,Ohio,OH,133
Central Cabarrus HS,North Carolina,NC,32
Central Catholic HS,California,CA,53
Central HS - San Angelo,Texas,TX,208
Central HS - Springfield,Missouri,MO,775
Central Of Grand Junction HS,Colorado,CO,117
Central Valley HS,Washington,WA,105
Chagrin Falls HS,Ohio,OH,176
Chaminade College Prep,California,CA,173
Chaminade HS,New York,NY,368
Champion HS,Ohio,OH,98
Champlin Park HS,Minnesota,MN,95
Chanhassen HS,Minnesota,MN,265
Chanute HS,Kansas,KS,47
Chapel Hill HS - Mt Pleasant,Texas,TX,65
Chapin HS,Texas,TX,65
Charleston HS,Illinois,IL,33
Charlotte Catholic HS,North Carolina,NC,120
Charlotte Latin School,North Carolina,NC,253
Chase HS,North Carolina,NC,47
Chaska HS,Minnesota,MN,151
CheongShim Int'l Academy,Korea,KR,9
Cherokee Trail HS,Colorado,CO,95
Cherry Creek HS,Colorado,CO,696
Chesterton HS,Indiana,IN,479
Cheyenne Central HS,Wyoming,WY,243
Cheyenne East HS,Wyoming,WY,383
Cheyenne Mountain HS,Colorado,CO,84
Cheyenne South HS,Wyoming,WY,163
Chiawana HS ,Washington,WA,53
Choctaw Sr HS,Oklahoma,OK,95
Christ Church Episcopal School,South Carolina,SC,24
Christopher Columbus HS,Florida,FL,93
Citrus Valley HS,California,CA,115
CK McClatchy HS,California,CA,37
Clackamas HS,Oregon,OR,81
Claremont HS,California,CA,348
Clarke Community HS,Iowa,IA,49
Claudia Taylor Johnson HS,Texas,TX,104
Clayton HS,Missouri,MO,235
Clear Brook HS,Texas,TX,158
Clear Creek HS,Texas,TX,178
Clear Lake HS,Texas,TX,149
Clearfield HS,Utah,UT,135
Cleveland HS,Oregon,OR,93
Clovis East HS,California,CA,44
Clovis North HS,California,CA,140
Cody HS,Wyoming,WY,98
Coeur D'Alene HS,Idaho,ID,216
Colchester HS,Vermont,VT,12
College Prep,California,CA,361
Colleyville Heritage HS,Texas,TX,189
Collierville HS,Tennessee,TN,76
Columbia City HS,Indiana,IN,31
Columbia HS,Idaho,ID,230
Columbia HS,Texas,TX,74
Columbiana HS,Ohio,OH,144
Columbine HS,Colorado,CO,109
Columbus East HS,Indiana,IN,104
Columbus HS,Georgia,GA,230
Comeaux HS,Louisiana,LA,182
Concord HS,Indiana,IN,194
Cooper City HS,Florida,FL,276
Coppell HS,Texas,TX,205
Copper Hills HS,Utah,UT,140
Coral Springs HS,Florida,FL,293
Coronado HS,Nevada,NV,266
Corpus Christi Carroll HS,Texas,TX,54
Cottonwood HS,Utah,UT,69
CR North HS,Pennsylvania,PA,132
Cranbrook Kingswood Upper School,Michigan,MI,37
Creighton Preparatory School,Nebraska,NE,105
Crescenta Valley HS,California,CA,132
Crete HS,Nebraska,NE,69
Cumberland International Early College HS,North Carolina,NC,122
Cupertino HS,California,CA,164
Cy-Fair HS,Texas,TX,194
Cypress Bay HS,Florida,FL,490
Cypress Creek HS,Texas,TX,156
Cypress Falls HS,Texas,TX,182
Cypress Lakes HS,Texas,TX,99
Cypress Woods HS,Texas,TX,165
Dallastown Area HS,Pennsylvania,PA,83
Damien HS,California,CA,66
Danville Area HS,Pennsylvania,PA,131
Danville HS,Kentucky,KY,193
Davenport-Assumption HS,Iowa,IA,46
David City HS,Nebraska,NE,152
Davis HS,Utah,UT,94
Davis Senior HS,California,CA,101
Del Valle HS - El Paso,Texas,TX,24
Delaware Academy,New York,NY,23
Delbarton School,New Jersey,NJ,261
Dell Rapids HS,South Dakota,SD,8
Delta Charter HS,California,CA,134
Delta HS,Colorado,CO,77
Democracy Prep Bronx Preparatory Charter School,New York,NY,124
Denfeld HS,Minnesota,MN,87
Denver East HS,Colorado,CO,411
Denver School Of The Arts,Colorado,CO,80
Des Moines Roosevelt HS,Iowa,IA,213
Desert Academy,New Mexico,NM,65
Desert Oasis HS,Nevada,NV,181
Desert Vista HS,Arizona,AZ,318
Dexter HS,Michigan,MI,41
Dickinson HS,North Dakota,ND,170
Dilworth Glyndon Felton HS,Minnesota,MN,143
Dominion HS,Utah,VA,53
Dougherty Valley HS,California,CA,440
Douglas HS,Nevada,NV,83
Dowling Catholic HS,Iowa,IA,306
Downers Grove North HS,Illinois,IL,255
Downers Grove South HS,Illinois,IL,443
Dreyfoos School Of The Arts,Florida,FL,207
Dripping Springs HS,Texas,TX,90
Dulles HS,Texas,TX,157
Dunwoody HS,Georgia,GA,27
DuPont Manual HS,Kentucky,KY,125
Durham Academy,North Carolina,NC,181
Dwight D. Eisenhower HS,Illinois,IL,100
Eagan HS,Minnesota,MN,666
Eagle HS,Idaho,ID,210
Eagle Valley HS,Colorado,CO,73
Eaglecrest HS,Colorado,CO,109
East Carteret HS,North Carolina,NC,108
East Chapel Hill HS,North Carolina,NC,156
East HS,Utah,UT,73
East HS - Des Moines,Iowa,IA,74
East Mountain HS,New Mexico,NM,181
East Ridge HS,Minnesota,MN,314
Eastside Catholic HS,Washington,WA,66
Eastview HS,Minnesota,MN,547
Eastwood HS,Texas,TX,68
Eden Prairie HS,Minnesota,MN,188
Edina HS,Minnesota,MN,339
Edison Computech HS,California,CA,114
Edison HS,Ohio,OH,146
Edmond North HS,Oklahoma,OK,234
El Campo HS,Texas,TX,81
El Dorado HS,California,CA,58
El Paso Coronado HS,Texas,TX,57
Eldorado HS,New Mexico,NM,93
Eleanor Roosevelt HS,Maryland,MD,26
Elizabeth HS,New Jersey,NJ,92
Elkhart Memorial HS,Indiana,IN,28
Elkhorn HS,Nebraska,NE,24
Elkins HS,Texas,TX,158
Elko HS,Nevada,NV,152
Emporia HS,Kansas,KS,342
Enderlin HS,North Dakota,ND,121
Evans HS,Georgia,GA,33
Evanston HS,Wyoming,WY,81
Evanston Twp HS,Illinois,IL,177
Fairview HS,Colorado,CO,167
Falmouth HS,Maine,ME,124
Fargo Davies HS,North Dakota,ND,170
Fargo Shanley HS,North Dakota,ND,114
Fargo South HS,North Dakota,ND,159
Farmington HS,New Mexico,NM,60
Father Duenas Memorial School,Guam,GU,5
Fayette County HS,Georgia,GA,43
Federal Way HS,Washington,WA,86
Field Kindley Memorial HS,Kansas,KS,136
Fishers HS,Indiana,IN,277
Flintridge Preparatory School,California,CA,62
Flower Mound HS,Texas,TX,215
Floyd Central HS,Indiana,IN,70
Fluvanna County HS,Utah,VA,101
Fond Du Lac HS,Wisconsin,WI,20
Foothill HS,Nevada,NV,189
Fort Collins HS,Colorado,CO,110
Fort Osage HS,Missouri,MO,197
Fort Scott HS,Kansas,KS,270
Fox Chapel Area HS,Pennsylvania,PA,104
Francis Howell North HS,Missouri,MO,112
Franklin HS,Texas,TX,59
Freehold Township HS,New Jersey,NJ,226
Fremont HS,Nebraska,NE,100
Fresta Valley Christian School,Utah,VA,65
Fruita Monument HS,Colorado,CO,46
Ft Lauderdale HS,Florida,FL,289
Fullerton Joint Union HS,California,CA,156
Gabrielino HS,California,CA,904
Garden City HS,Kansas,KS,271
Garland HS,Texas,TX,188
Geneva School Of Boerne,Texas,TX,83
George Washington HS,Colorado,CO,605
Gig Harbor HS,Washington,WA,253
Gilmour Academy,Ohio,OH,244
Girard HS,Kansas,KS,45
Glenbard West HS,Illinois,IL,67
Glenbrook North HS,Illinois,IL,542
Glenbrook South HS,Illinois,IL,512
Glendale HS,Missouri,MO,535
GlenOak HS,Ohio,OH,150
Glenwood HS,Illinois,IL,108
Godley HS,Texas,TX,92
Golden HS,Colorado,CO,155
Gonzaga Prep HS,Washington,WA,135
Gothenburg HS,Nebraska,NE,125
Grace Christian Academy,Northern Marina Islands,MP,8
Granada Hills Charter HS,California,CA,127
Grand Forks Central HS,North Dakota,ND,123
Grand Junction HS,Colorado,CO,16
Grand Prairie Fine Arts Academy,Texas,TX,79
Grand Rapids Christian HS,Michigan,MI,47
Grand Rapids City HS,Michigan,MI,52
Grandview HS,Colorado,CO,104
Granite Bay HS,California,CA,160
Granite City Sr HS,Illinois,IL,125
Grants Pass HS,Oregon,OR,93
Grantsville HS,Utah,UT,114
Grapevine HS,Texas,TX,358
Greater Latrobe HS,Pennsylvania,PA,54
Greeley Central HS,Colorado,CO,124
Green River HS,Wyoming,WY,391
Green Valley HS,Nevada,NV,401
Greenhill School,Texas,TX,188
Greensburg Salem HS,Pennsylvania,PA,30
Greenville Technical Charter HS,South Carolina,SC,26
Gregory Portland HS,Texas,TX,154
Gresham-Barlow HS,Oregon,OR,112
Greybull HS,Wyoming,WY,103
Grinnell HS,Iowa,IA,72
Groton HS,South Dakota,SD,35
Grovetown HS,Georgia,GA,124
Guymon HS,Oklahoma,OK,92
Hackley School,New York,NY,59
Hallsville HS,Texas,TX,69
Hamilton HS,Arizona,AZ,143
Hamilton Southeastern HS,Indiana,IN,67
Hancock Central School,New York,NY,45
Hanover HS,New Hampshire,NH,13
Harlingen HS,Texas,TX,105
Harlingen HS South,Texas,TX,201
Harrisburg HS,South Dakota,SD,181
Harrison HS,New York,NY,96
Harvest Christian Academy,Guam,GU,23
Haskell HS,Oklahoma,OK,138
Hastings Senior HS,Nebraska,NE,103
Hathaway Brown School,Ohio,OH,215
Hattiesburg HS,Mississippi,MS,148
Hattiesburg HS,Mississippi,MS,148
Hawken School,Ohio,OH,354
Hayden HS,Kansas,KS,81
Head-Royce School,California,CA,88
Hebron HS,Texas,TX,110
Hedgesville HS,West Virginia,WV,2
Helix Charter HS,California,CA,127
Hempfield Area HS,Pennsylvania,PA,33
Hendrickson HS,Texas,TX,378
Henry Clay HS,Kentucky,KY,116
Henry W Grady HS,Georgia,GA,261
Herriman HS,Utah,UT,107
Highland HS,Idaho,ID,481
Highland HS,Ohio,OH,292
Highlands Ranch HS,Colorado,CO,111
Hillcrest HS,Idaho,ID,417
Hillcrest HS,South Carolina,SC,67
Hillcrest HS,Utah,UT,140
Hillsborough HS,Florida,FL,59
Hinsdale Central HS,Illinois,IL,289
Hockaday School,Texas,TX,124
Holy Cross School,Louisiana,LA,144
Holy Ghost Prep,Pennsylvania,PA,121
Holy Trinity Catholic HS,Texas,TX,182
Home Educator's Outsourcing Solutions,Texas,TX,167
Homestead HS,Indiana,IN,34
Hood River Valley HS,Oregon,OR,71
Hoover HS,Alabama,AL,73
Hoover HS,Alabama,AL,73
Hoover HS,Ohio,OH,301
Horace Mann HS,New York,NY,98
Howard Health And Life Science,North Carolina,NC,120
Hunter College HS,New York,NY,75
Hunter HS,Utah,UT,130
Huron HS,South Dakota,SD,115
Hutchinson HS,Kansas,KS,285
Idaho Falls HS,Idaho,ID,148
IDEAS Academy,Wisconsin,WI,22
IL Math And Science Academy,Illinois,IL,96
ILEAD North Hollywood,California,CA,203
Immaculata-LaSalle HS,Florida,FL,40
Independence Chrisman HS,Missouri,MO,247
Independence HS,California,CA,47
Independence HS,Kansas,KS,115
Independence HS,Texas,TX,76
Independence Truman HS,Missouri,MO,291
Interlake HS - Bellevue,Washington,WA,189
Iolani School,Hawaii,HI,91
Iona Preparatory,New York,NY,65
Iowa City HS,Iowa,IA,48
Irmo HS,South Carolina,SC,55
Isidore Newman School,Louisiana,LA,125
Jack Britt HS,North Carolina,NC,99
Jack C Hays HS,Texas,TX,111
Jackson Hole HS,Wyoming,WY,156
Jackson HS,Ohio,OH,251
James Bowie HS,Texas,TX,187
James E Taylor HS,Texas,TX,207
James Enochs HS,California,CA,152
James Logan HS,California,CA,510
James Madison HS - San Antonio,Texas,TX,112
James Madison Memorial HS,Wisconsin,WI,145
Jasper HS,Texas,TX,177
JBS Law Magnet HS,Texas,TX,124
Jefferson City HS,Missouri,MO,226
Jefferson County HS,Tennessee,TN,88
Jefferson HS,Indiana,IN,139
Jenks HS,Oklahoma,OK,196
Jesuit HS,California,CA,57
Jesuit New Orleans HS,Louisiana,LA,54
John F Kennedy HS,Iowa,IA,105
John H Guyer HS,Texas,TX,84
John Handley HS,Utah,VA,70
John Marshall HS,West Virginia,WV,2
John Paul II HS,Texas,TX,109
John Paul The Great Academy,Louisiana,LA,93
Johnston HS,Iowa,IA,105
Joplin HS,Missouri,MO,171
Juab HS,Utah,UT,121
Judson HS,Texas,TX,86
Junction City HS,Kansas,KS,240
Jupiter HS,Florida,FL,77
Kagman HS,Northern Marina Islands,MP,8
Kahuku High & Intermediate School,Hawaii,HI,73
Kamehameha Schools,Hawaii,HI,128
Kamiak HS,Washington,WA,175
Kapaun Mount Carmel HS,Kansas,KS,236
Kearney Sr HS,Nebraska,NE,19
Kearns HS,Utah,UT,79
Kelly Walsh HS,Wyoming,WY,71
Kent Denver School,Colorado,CO,243
Kerr HS,Texas,TX,205
Kickapoo HS,Missouri,MO,469
Kimberly HS,Idaho,ID,143
King HS,Florida,FL,151
Kingston HS,Washington,WA,99
Kingwood HS,Texas,TX,168
Klein HS,Texas,TX,166
Knox Community School,Indiana,IN,43
Kokomo HS,Indiana,IN,79
L C Anderson HS,Texas,TX,217
La Canada HS,California,CA,125
La Cueva HS,New Mexico,NM,143
La Porte HS,Indiana,IN,132
La Salle College HS,Pennsylvania,PA,129
La Vernia HS,Texas,TX,231
Ladue Horton Watkins HS,Missouri,MO,263
Lake Braddock Secondary HS,Utah,VA,50
Lake City HS,Idaho,ID,209
Lake Highland Preparatory,Florida,FL,449
Lake Mary Preparatory School,Florida,FL,95
Lake Oswego HS,Oregon,OR,80
Lake Travis HS,Texas,TX,123
Lakeland HS,New York,NY,31
Lakeville North HS,Minnesota,MN,329
Lakeville South HS,Minnesota,MN,140
Lakewood HS,Colorado,CO,175
Lamar HS - Houston,Texas,TX,246
Lambert HS,Georgia,GA,33
Lamp HS,Alabama,AL,114
Lamp HS,Alabama,AL,114
Lansing Sr HS,Kansas,KS,328
Larry A Ryle HS,Kentucky,KY,124
Larue County HS,Kentucky,KY,93
Lassiter HS,Georgia,GA,39
Laurel Christian School,Mississippi,MS,152
Laurel Christian School,Mississippi,MS,152
Laurel School,Ohio,OH,124
Lawrence Free State HS,Kansas,KS,385
Lawrence HS,Kansas,KS,441
Lead-Deadwood HS,South Dakota,SD,84
Lebanon HS,Missouri,MO,200
Lee County HS,Georgia,GA,73
Lee's Summit North HS,Missouri,MO,307
Lee's Summit West HS,Missouri,MO,546
Legacy HS,Florida,FL,28
Leland HS,California,CA,906
Lennox HS,South Dakota,SD,133
Leon HS,Texas,TX,73
Lexington HS,Massachusetts,MA,441
Liberty HS,Ohio,OH,102
Liberty North HS,Missouri,MO,601
Liberty Sr HS,Missouri,MO,646
Lincoln Academy,Maine,ME,89
Lincoln Community HS,Illinois,IL,34
Lincoln East HS,Nebraska,NE,311
Lincoln HS,Iowa,IA,143
Lincoln HS,Nebraska,NE,122
Lincoln HS,Oregon,OR,289
Lincoln North Star HS,Nebraska,NE,122
Lincoln Southeast HS,Nebraska,NE,180
Lincoln Southwest HS,Nebraska,NE,502
Lindale HS,Texas,TX,243
Lodi HS,California,CA,114
Logan HS,Utah,UT,107
Logansport HS,Indiana,IN,92
Lone Peak HS,Utah,UT,137
Los Alamos HS,New Mexico,NM,224
Los Altos HS,California,CA,167
Los Osos HS,California,CA,138
Louisburg HS,Kansas,KS,314
Lovejoy HS,Texas,TX,218
Lowell HS,California,CA,224
Loyola HS,California,CA,112
Loyola-Blakefield HS,Maryland,MD,119
Lubbock HS,Texas,TX,58
Luther Preparatory School,Wisconsin,WI,107
LV Hightower HS,Texas,TX,138
Lyons HS,Kansas,KS,103
Mabank HS,Texas,TX,115
Maconaquah HS,Indiana,IN,107
Madison Central HS,Mississippi,MS,152
Madison Central HS,Mississippi,MS,152
Madison County HS,Utah,VA,94
Madison HS,Idaho,ID,335
Madison HS,South Dakota,SD,43
Madison West High School,Wisconsin,WI,153
Maize HS,Kansas,KS,166
Maize South HS,Kansas,KS,224
Manchester Essex Regional HS,Massachusetts,MA,77
Manhattan HS,Kansas,KS,263
Maple Grove Senior HS,Minnesota,MN,271
Maranacook Community School,Maine,ME,60
Marian HS,Nebraska,NE,135
Marianas HS,Northern Marina Islands,MP,40
Marist School,Georgia,GA,201
Marquette HS,Missouri,MO,199
Marriotts Ridge HS,Maryland,MD,62
Mars Hill Bible School,Alabama,AL,76
Mars Hill Bible School,Alabama,AL,76
Marshall HS,Minnesota,MN,144
Marshall HS,Missouri,MO,135
Marshfield HS,Missouri,MO,138
Marshfield HS,Oregon,OR,139
Martinsburg HS,West Virginia,WV,0
Maryknoll HS,Hawaii,HI,31
Mason HS,Ohio,OH,305
Mater Dei HS,Indiana,IN,44
Mauldin HS,South Carolina,SC,28
McClintock HS,Arizona,AZ,194
McCutcheon HS,Indiana,IN,49
McDowell HS,Pennsylvania,PA,154
McKeesport Area HS,Pennsylvania,PA,23
McKinney HS,Texas,TX,84
McKinney North HS,Texas,TX,52
McMinnville HS,Oregon,OR,91
McPherson HS,Kansas,KS,200
McQuaid Jesuit HS,New York,NY,96
McQueen HS,Nevada,NV,81
Mead HS,Washington,WA,72
Medina Senior HS,Ohio,OH,147
Melissa HS,Texas,TX,97
Memorial HS - Houston,Texas,TX,230
Mercer Area HS,Pennsylvania,PA,97
Mesquite HS,Arizona,AZ,102
Metro Christian Academy,Oklahoma,OK,82
Miami Beach Sr HS,Florida,FL,209
Miami Coral Park HS,Florida,FL,17
Michael Krop HS,Florida,FL,119
Middletown HS,Ohio,OH,214
Midwest Speech & Debate,Michigan,MI,50
Milbank HS,South Dakota,SD,129
Millard North HS,Nebraska,NE,761
Millard South HS,Nebraska,NE,67
Millard West HS,Nebraska,NE,314
Millburn HS,New Jersey,NJ,401
Millennium Charter,California,CA,29
Milpitas HS,California,CA,203
Milton Academy,Massachusetts,MA,189
Mira Loma HS,California,CA,182
Miramonte HS,California,CA,434
Mission San Jose HS,California,CA,143
Mitchell HS,South Dakota,SD,243
Modesto HS,California,CA,53
Monarch HS,Colorado,CO,81
Monett HS,Missouri,MO,175
Monsignor Farrell HS,New York,NY,70
Monte Vista HS - Danville,California,CA,327
Montgomery Bell Academy,Tennessee,TN,76
Montgomery HS,Texas,TX,133
Monticello Central HS,New York,NY,46
Montpelier HS,Vermont,VT,30
Montrose HS,Colorado,CO,81
Montville HS,New Jersey,NJ,351
Montwood HS,Texas,TX,25
Moore HS,Oklahoma,OK,124
Moorhead HS,Minnesota,MN,253
Morgan HS,Utah,UT,119
Morristown West HS,Tennessee,TN,337
Mount Carmel School,Northern Marina Islands,MP,12
Mount Markham Sr HS,New York,NY,32
Mount Mercy Academy,New York,NY,12
Mount Si HS,Washington,WA,98
Mount Vernon HS,Ohio,OH,139
Mountain Brook HS,Alabama,AL,62
Mountain Brook HS,Alabama,AL,62
Mountain Crest HS,Utah,UT,120
Mountain Home HS,Idaho,ID,193
Mountain View HS,Idaho,ID,166
Mountain View HS,Oregon,OR,44
Mountain View HS,Texas,TX,39
Mountain View HS,Washington,WA,119
Mountain Vista HS,Colorado,CO,89
Muldrow HS,Oklahoma,OK,107
Mullen HS,Colorado,CO,105
Mulvane HS,Kansas,KS,212
Munster HS,Indiana,IN,442
Murrah HS,Mississippi,MS,150
Murrah HS,Mississippi,MS,150
Murray HS,Kentucky,KY,94
Muscatine HS,Iowa,IA,46
Myers Park HS,North Carolina,NC,191
Natick HS,Massachusetts,MA,56
Natrona County HS,Wyoming,WY,153
NC School Of Science & Math,North Carolina,NC,98
Needham HS,Massachusetts,MA,222
Neenah HS,Wisconsin,WI,68
Neosho HS,Missouri,MO,437
New Castle HS,Indiana,IN,76
New London HS,Wisconsin,WI,44
New Trier Township HS,Illinois,IL,401
Newburgh Free Academy,New York,NY,27
Newport HS,Washington,WA,122
Newton HS,Kansas,KS,199
Newton South HS,Massachusetts,MA,406
Niceville HS,Florida,FL,55
Niles McKinley HS,Ohio,OH,164
Niles North HS,Illinois,IL,239
Niles West HS,Illinois,IL,302
Niwot HS,Colorado,CO,106
Nixa HS,Missouri,MO,258
Noblesville HS,Indiana,IN,169
Norfolk HS,Nebraska,NE,179
Normal Community West HS,Illinois,IL,121
Norman HS,Oklahoma,OK,205
Norman North HS,Oklahoma,OK,338
North Allegheny Sr HS,Pennsylvania,PA,589
North Bend Sr HS,Oregon,OR,70
North Central HS,Indiana,IN,91
North Central HS,Washington,WA,55
North Hall HS,Georgia,GA,38
North Hollywood HS,California,CA,163
North Lamar HS,Texas,TX,111
North Mecklenburg HS,North Carolina,NC,227
North Platte HS,Nebraska,NE,205
North Valley HS,Oregon,OR,75
Northland Christian School,Texas,TX,198
Northridge HS,Utah,UT,145
Northrop HS,Indiana,IN,36
Northwest Career And Technical Academy,Nevada,NV,276
Northwest Guilford HS,North Carolina,NC,156
Norton HS,Ohio,OH,143
Norwin HS,Pennsylvania,PA,35
Notre Dame Academy,Ohio,OH,202
Notre Dame Prep School,Maryland,MD,45
Nova HS,Florida,FL,905
NSU University School,Florida,FL,310
O'Gorman HS,South Dakota,SD,364
Oak Grove HS,Mississippi,MS,222
Oak Grove HS,Mississippi,MS,222
Oak Hall School,Florida,FL,22
Oak Hill School,Oregon,OR,52
Oak Park & River Forest HS,Illinois,IL,103
Oak Ridge HS,California,CA,37
Oak Ridge HS,Texas,TX,319
Oakwood HS,Ohio,OH,132
Oakwood School - North Hollywood,California,CA,125
Okoboji Community School,Iowa,IA,50
Olathe East HS,Kansas,KS,76
Olathe North HS,Kansas,KS,240
Olathe Northwest HS,Kansas,KS,573
Olathe South HS,Kansas,KS,267
Olympus HS,Utah,UT,79
Orono HS,Maine,ME,59
Orono HS,Minnesota,MN,172
Orosi HS,California,CA,73
Ottumwa HS,Iowa,IA,47
Overland HS,Colorado,CO,112
Oxbridge Academy Of The Palm Beaches,Florida,FL,203
Oxford Academy,California,CA,216
Oxford HS,Mississippi,MS,75
Oxford HS,Mississippi,MS,75
Paducah Tilghman HS,Kentucky,KY,82
Palisade HS,Colorado,CO,141
Palm Beach Central HS,Florida,FL,111
Palm Harbor University HS,Florida,FL,64
