tournament,bid,seed,rWon,code,school,gender,speaks,phouse,location,state,grad,numGender,facPhouse,facInstate,numInstate
Alta,Quarters,68,3,College Prep SD,College Prep,female,110.9,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,82,2,College Prep ZD,College Prep,female,111.3,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,57,3,Copper Hills AC,Copper Hills,female,112.7,0,Utah,Utah,2016,0,non-Powerhouse,instate,1
Alta,Quarters,54,3,Copper Hills LM,Copper Hills,female,112.9,0,Utah,Utah,2017,0,non-Powerhouse,instate,1
Alta,Quarters,62,3,Copper Hills NS,Copper Hills,female,111.9,0,Utah,Utah,2016,0,non-Powerhouse,instate,1
Alta,Quarters,65,3,Corner Canyon PB,Corner Canyon,male,111,0,Utah,Utah,2018,1,non-Powerhouse,instate,1
Alta,Quarters,87,2,Douglas BK,Douglas,female,110,0,Utah,Wyoming,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,70,3,Eagle CW,Eagle,female,110.6,0,Utah,Idaho,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,38,4,Eagle MD,Eagle,female,112.5,0,Utah,Idaho,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,80,2,Eagle MM,Eagle,female,112.72,0,Utah,Idaho,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,44,4,East NO,East,male,110.9,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,86,2,East WH,East,male,110.4,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,78,2,Eastside Catholic DC,Eastside Catholic,male,113.8,0,Utah,Washington,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,29,4,Eastside Catholic NM,Eastside Catholic,male,114.3,0,Utah,Washington,2016,1,non-Powerhouse,outofstate,0
Alta,Quarters,69,3,George Washington CO CB,George Washington CO,female,110.6,0,Utah,Colorado,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,90,2,Grantsville DC,Grantsville,male,109.5,0,Utah,Utah,2018,1,non-Powerhouse,instate,1
Alta,Quarters,96,2,Green River AA,Green River,female,107.8,0,Utah,Wyoming,2019,0,non-Powerhouse,outofstate,0
Alta,Quarters,83,2,Green River AG,Green River,female,111.2,0,Utah,Wyoming,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,114,1,Green River CK,Green River,male,104,0,Utah,Wyoming,2018,1,non-Powerhouse,outofstate,0
Alta,Quarters,75,3,Green River DH,Green River,male,108,0,Utah,Wyoming,2018,1,non-Powerhouse,outofstate,0
Alta,Quarters,104,1,Green River KB,Green River,female,110.1,0,Utah,Wyoming,2019,0,non-Powerhouse,outofstate,0
Alta,Quarters,116,0,Green River MM,Green River,female,109.7,0,Utah,Wyoming,2019,0,non-Powerhouse,outofstate,0
Alta,Quarters,103,1,Green River RH,Green River,female,110.4,0,Utah,Wyoming,2019,0,non-Powerhouse,outofstate,0
Alta,Quarters,105,1,Green River SK,Green River,male,110.1,0,Utah,Wyoming,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,40,4,Harker SL,Harker,female,112.3,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,8,5,Harvard-Westlake CE,Harvard-Westlake,male,116.3,1,Utah,California,2017,1,Powerhouse,outofstate,0
Alta,Quarters,10,5,Harvard-Westlake EE,Harvard-Westlake,male,116.1,1,Utah,California,2017,1,Powerhouse,outofstate,0
Alta,Quarters,7,5,Harvard-Westlake IP,Harvard-Westlake,male,116.4,1,Utah,California,2018,1,Powerhouse,outofstate,0
Alta,Quarters,48,3,Harvard-Westlake LY,Harvard-Westlake,female,114.2,1,Utah,California,2017,0,Powerhouse,outofstate,0
Alta,Quarters,16,4,Harvard-Westlake NS,Harvard-Westlake,male,117.6,1,Utah,California,2016,1,Powerhouse,outofstate,0
Alta,Quarters,64,3,Hunter AD,Hunter,female,111.1,0,Utah,Utah,2017,0,non-Powerhouse,instate,1
Alta,Quarters,79,2,Hunter MH,Hunter,male,113,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,13,5,Immaculate Heart DD,Immaculate Heart,female,115.3,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,72,3,Jordan JK,Jordan,male,110.1,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,100,2,Jordan JW,Jordan,male,104,0,Utah,Utah,2018,1,non-Powerhouse,instate,1
Alta,Quarters,101,2,Jordan SC,Jordan,female,88.06,0,Utah,Utah,2019,0,non-Powerhouse,instate,1
Alta,Quarters,81,2,Juan Diego Catholic CS,Juan Diego Catholic,female,111.5,0,Utah,Utah,2016,0,non-Powerhouse,instate,1
Alta,Quarters,112,1,Juan Diego Catholic EG,Juan Diego Catholic,female,106,0,Utah,NA,NA,0,non-Powerhouse,NA,NA
Alta,Quarters,107,1,Juan Diego Catholic EN,Juan Diego Catholic,female,109.2,0,Utah,NA,NA,0,non-Powerhouse,NA,NA
Alta,Quarters,109,1,Kent Denver OW,Kent Denver,male,108.5,0,Utah,Colorado,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,115,1,Layton JT,Layton,male,102.6,0,Utah,Utah,2018,1,non-Powerhouse,instate,1
Alta,Quarters,52,3,Layton ZB,Layton,male,113,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,66,3,Logan AW,Logan,male,111,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,34,4,Logan CW,Logan,male,113.7,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,89,2,Logan YB,Logan,female,109.5,0,Utah,Utah,2017,0,non-Powerhouse,instate,1
Alta,Quarters,2,6,Loyola AP,Loyola,male,116.7,0,Utah,California,2016,1,non-Powerhouse,outofstate,0
Alta,Quarters,9,5,Loyola BS,Loyola,male,116.2,1,Utah,California,2017,1,Powerhouse,outofstate,0
Alta,Quarters,20,4,Loyola DW,Loyola,male,115.5,1,Utah,California,2017,1,Powerhouse,outofstate,0
Alta,Quarters,25,4,Loyola GC,Loyola,male,114.7,1,Utah,California,2018,1,Powerhouse,outofstate,0
Alta,Quarters,63,3,Loyola NT,Loyola,male,111.2,1,Utah,California,2018,1,Powerhouse,outofstate,0
Alta,Quarters,24,4,Loyola ZM,Loyola,male,114.7,1,Utah,California,2016,1,Powerhouse,outofstate,0
Alta,Quarters,46,3,Lynbrook SS,Lynbrook Independent,female,114.6,0,Utah,California,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,17,4,Maesar Prep JH,Maesar Prep,male,116.8,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,5,5,Marlborough AG,Marlborough,female,117.12,0,Utah,California,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,59,3,Marlborough CC,Marlborough,female,112.1,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,18,4,Marlborough GK,Marlborough,female,116.4,0,Utah,California,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,73,3,Marlborough KR,Marlborough,female,110.1,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,4,5,Marlborough LG,Marlborough,female,117.5,0,Utah,California,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,26,4,Marlborough MC,Marlborough,female,114.7,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,47,3,Meadows ER,Meadows,male,114.3,0,Utah,Nevada,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,3,5,Meadows LS,Meadows,male,118,0,Utah,Nevada,2016,1,non-Powerhouse,outofstate,0
Alta,Quarters,19,4,Meadows SK,Meadows,female,115.8,0,Utah,Nevada,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,12,5,Mission San Jose LS,Mission San Jose,female,115.5,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,1,6,Mission San Jose PB,Mission San Jose,male,117.8,0,Utah,California,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,31,4,Mission San Jose RS,Mission San Jose,male,114,0,Utah,California,2018,1,non-Powerhouse,outofstate,0
Alta,Quarters,67,3,Mountain View DL,Mountain View,male,110.9,0,Utah,Idaho,2018,1,non-Powerhouse,outofstate,0
Alta,Quarters,85,2,Mountain View MFi,Mountain View,female,110.7,0,Utah,Idaho,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,21,4,Northland Christian ML,Northland Christian,female,115.3,0,Utah,Texas,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,28,4,Northland Christian MP,Northland Christian,female,114.5,0,Utah,Texas,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,23,4,Palo Alto (Independent) AM,Palo Alto (Independent),male,115.1,0,Utah,California,2016,1,non-Powerhouse,outofstate,0
Alta,Quarters,43,4,Palo Alto (Independent) CFe,Palo Alto (Independent),male,110.9,0,Utah,California,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,37,4,Palo Alto (Independent) GC,Palo Alto (Independent),male,112.5,0,Utah,California,2016,1,non-Powerhouse,outofstate,0
Alta,Quarters,94,2,Presentation AA,Presentation,female,108,0,Utah,California,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,56,3,Presentation AS,Presentation,female,112.7,0,Utah,California,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,33,4,Presentation KS,Presentation,female,113.8,0,Utah,California,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,11,5,Presentation MS,Presentation,female,115.9,0,Utah,California,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,22,4,Presentation RG,Presentation,female,115.2,0,Utah,California,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,45,3,Renaissance JM,Renaissance,male,116,0,Utah,Idaho,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,51,3,Renaissance NS,Renaissance,female,113.7,0,Utah,Idaho,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,77,3,Rowland Hall-St. Mark's EC,Rowland Hall-St. Mark's,female,105,0,Utah,Utah,2017,0,non-Powerhouse,instate,1
Alta,Quarters,6,5,Rowland Hall-St. Mark's KO,Rowland Hall-St. Mark's,male,116.8,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,27,4,Rowland Hall-St. Mark's LC,Rowland Hall-St. Mark's,female,114.5,0,Utah,Utah,2017,0,non-Powerhouse,instate,1
Alta,Quarters,60,3,Sage Ridge AC,Sage Ridge,male,112,0,Utah,Nevada,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,88,2,Sage Ridge SD,Sage Ridge,female,109.7,0,Utah,Nevada,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,108,1,Salem Hills MA,Salem Hills,male,108.5,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,111,1,Salem Hills ML,Salem Hills,male,106.5,0,Utah,Utah,2018,1,non-Powerhouse,instate,1
Alta,Quarters,110,1,Sky View AP,Sky View,female,107.4,0,Utah,Utah,2017,0,non-Powerhouse,instate,1
Alta,Quarters,91,2,Sky View JE,Sky View,male,109.3,0,Utah,Utah,2018,1,non-Powerhouse,instate,1
Alta,Quarters,42,4,Sky View JK,Sky View,male,112,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,32,4,Skyline EF,SkylineUT,male,113.96,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,58,3,Summit Academy BM,Summit Academy,female,112.5,0,Utah,Utah,2016,0,non-Powerhouse,instate,1
Alta,Quarters,95,2,Summit Academy CM,Summit Academy,male,108,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,61,3,Summit Academy JP,Summit Academy,male,112,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,113,1,Timpview HF,Timpview,female,105,0,Utah,Utah,2017,0,non-Powerhouse,instate,1
Alta,Quarters,53,3,Venture TC,Venture,male,113,0,Utah,California,NA,1,non-Powerhouse,outofstate,0
Alta,Quarters,71,3,West CC,West,female,110.5,0,Utah,Utah,2018,0,non-Powerhouse,instate,1
Alta,Quarters,41,4,West KN,West,male,112.1,0,Utah,Utah,2019,1,non-Powerhouse,instate,1
Alta,Quarters,15,5,West MT,West,male,113.8,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,14,5,West NC,West,male,114.6,0,Utah,Utah,2017,1,non-Powerhouse,instate,1
Alta,Quarters,106,1,Wood River AL,Wood River,male,109.7,0,Utah,Idaho,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,74,3,Wood River LW,Wood River,female,110.1,0,Utah,Idaho,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,66,4,American Heritage AD,American Heritage Boca Delray,male,141.8,0,Minnesota,Florida,2018,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,50,4,American Heritage JY,American Heritage Plantation,male,143.1,0,Minnesota,Florida,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,129,2,Appleton East JV,Appleton East,male,132.8,0,Minnesota,Wisconsin,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,64,4,Barrington HS,Barrington,male,142.3,0,Minnesota,Illinois,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,41,4,Barrington JH,Barrington,male,144.1,0,Minnesota,Illinois,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,80,3,Barrington RJ,Barrington,male,141.7,0,Minnesota,Illinois,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,63,4,Barrington SN,Barrington,female,142.4,0,Minnesota,Illinois,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,124,2,Bettendorf RN,Bettendorf,male,138.6,0,Minnesota,Iowa,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,132,1,Blaine GG,Blaine,male,140,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1
Apple Valley,Octas,68,4,Blaine HPR,Blaine,female,141.1,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1
Apple Valley,Octas,37,4,Bronx Science DR,Bronx Science,male,144.8,0,Minnesota,New York,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,39,4,Bronx Science GM,Bronx Science,male,144.5,0,Minnesota,New York,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,29,5,Bronx Science JS,Bronx Science,male,144.4,0,Minnesota,New York,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,14,5,Bronx Science ZP,Bronx Science,female,146.3,0,Minnesota,New York,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,25,5,Cedar Park MG,Cedar Park HS Speech/Debate,male,145.2,0,Minnesota,Texas,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,130,1,Cedar Park MT,Cedar Park HS Speech/Debate,female,141.2,0,Minnesota,Texas,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,123,2,Chanhassen KL,Chanhassen,male,138.7,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1
Apple Valley,Octas,75,3,College Prep DB,College Prep,female,142.57,0,Minnesota,California,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,60,4,College Prep ZD,College Prep,female,142.5,0,Minnesota,California,2018,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,34,5,Cy-Fair CM,Cy-Fair,female,143.3,0,Minnesota,Texas,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,110,2,Dougherty Valley AM,Dougherty Valley,male,140.7,0,Minnesota,California,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,40,4,Dougherty Valley CS,Dougherty Valley,female,144.1,0,Minnesota,California,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,53,4,Dougherty Valley SZ,Dougherty Valley,male,143,0,Minnesota,California,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,108,2,Dowling Catholic DK,Dowling Catholic,male,141.6,0,Minnesota,Iowa,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,47,4,Dowling Catholic JO,Dowling Catholic,female,143.2,0,Minnesota,Iowa,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,36,4,DuPont Manual XH,DuPont Manual,female,145.8,0,Minnesota,Kentucky,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,82,3,Eagan BP,Eagan,male,141.3,0,Minnesota,Minnesota,2017,1,non-Powerhouse,instate,1
Apple Valley,Octas,138,1,Eagan JL,Eagan,male,135.3,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1
Apple Valley,Octas,125,2,Eagan KM,Eagan,female,138.2,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1
Apple Valley,Octas,105,3,Eagan NM,Eagan,male,137.8,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1
Apple Valley,Octas,137,1,Eagan TA,Eagan,male,137.2,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1
Apple Valley,Octas,78,3,Edina AV,Edina,male,141.7,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1
Apple Valley,Octas,115,2,Edina GM,Edina,female,139.8,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1
Apple Valley,Octas,56,4,Episcopal AB,Episcopal,male,142.8,0,Minnesota,Texas,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,111,2,Evanston Township GH,Evanston Township,male,140.4,0,Minnesota,Illinois,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,114,2,Evanston Township HS,Evanston Township,male,139.8,0,Minnesota,Illinois,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,4,6,Greenhill BE,Greenhill,male,145.82,1,Minnesota,Texas,2016,1,Powerhouse,outofstate,0
Apple Valley,Octas,9,6,Greenhill GB,Greenhill,male,145.1,1,Minnesota,Texas,2016,1,Powerhouse,outofstate,0
Apple Valley,Octas,107,2,Greenhill SA,Greenhill,female,142.3,1,Minnesota,Texas,2018,0,Powerhouse,outofstate,0
Apple Valley,Octas,76,3,Greenhill SK,Greenhill,female,142.1,1,Minnesota,Texas,2018,0,Powerhouse,outofstate,0
Apple Valley,Octas,7,6,Greenhill VA,Greenhill,male,145.5,1,Minnesota,Texas,2016,1,Powerhouse,outofstate,0
Apple Valley,Octas,8,6,Harrison EA,Harrison,female,145.4,0,Minnesota,New York,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,6,6,Harrison KK,Harrison,female,145.7,0,Minnesota,New York,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,12,5,Harrison RP,Harrison,male,146.8,0,Minnesota,New York,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,33,5,Harrison SO,Harrison,female,143.5,0,Minnesota,New York,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,16,5,Harrison SR,Harrison,female,146.1,0,Minnesota,New York,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,1,7,Harvard Westlake CC,Harvard-Westlake,male,148,1,Minnesota,California,2016,1,Powerhouse,outofstate,0
Apple Valley,Octas,17,5,Harvard Westlake CE,Harvard-Westlake,male,146,1,Minnesota,California,NA,1,Powerhouse,outofstate,0
Apple Valley,Octas,23,5,Harvard Westlake EE,Harvard-Westlake,male,145.4,1,Minnesota,California,NA,1,Powerhouse,outofstate,0
Apple Valley,Octas,2,7,Harvard Westlake NS,Harvard-Westlake,male,146.6,1,Minnesota,California,,1,Powerhouse,outofstate,0
Apple Valley,Octas,77,3,Hendrick Hudson MG,Hendrick Hudson,male,141.8,0,Minnesota,New York,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,100,3,Hockaday AJ,Hockaday,female,139.2,0,Minnesota,Texas,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,140,0,Hockaday AS,Hockaday,female,136.2,0,Minnesota,Texas,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,121,2,Hockaday KB,Hockaday,female,138.8,0,Minnesota,Texas,2018,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,87,3,Hockaday SM,Hockaday,female,140.9,0,Minnesota,Texas,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,57,4,Houston Memorial PK,Houston Memorial,male,142.6,0,Minnesota,Texas,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,84,3,Isidore Newman AA,Isidore Newman,female,141.1,0,Minnesota,Louisianna,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,24,5,Lake Highland Prep AA,Lake Highland Prep,male,145.3,1,Minnesota,Florida,2018,1,Powerhouse,outofstate,0
Apple Valley,Octas,18,5,Lake Highland Prep MC,Lake Highland Prep,male,145.9,1,Minnesota,Florida,2017,1,Powerhouse,outofstate,0
Apple Valley,Octas,45,4,Lake Highland Prep NP,Lake Highland Prep,female,143.3,1,Minnesota,Florida,2016,0,Powerhouse,outofstate,0
Apple Valley,Octas,71,4,Lake Highland Prep SP,Lake Highland Prep,female,139.2,1,Minnesota,Florida,2016,0,Powerhouse,outofstate,0
Apple Valley,Octas,96,3,Lexington CL,Lexington,female,139.9,0,Minnesota,Massachusetts,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,118,2,Lexington JS,Lexington,female,139,0,Minnesota,Massachusetts,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,81,3,Lexington KB,Lexington,male,141.4,0,Minnesota,Massachusetts,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,28,5,Lexington LW,Lexington,female,144.5,0,Minnesota,Massachusetts,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,62,4,Lexington MZ,Lexington,male,142.5,0,Minnesota,Massachusetts,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,44,4,Lexington NB,Lexington,male,143.4,0,Minnesota,Massachusetts,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,43,4,Loyola BS,Loyola,male,143.8,1,Minnesota,California,2017,1,Powerhouse,outofstate,0
Apple Valley,Octas,139,0,Loyola HF,Loyola,male,137.9,1,Minnesota,California,2018,1,Powerhouse,outofstate,0
Apple Valley,Octas,26,5,Loyola JO,Loyola,male,144.8,1,Minnesota,California,2016,1,Powerhouse,outofstate,0
Apple Valley,Octas,67,4,Loyola ZM,Loyola,male,141.4,1,Minnesota,California,2016,1,Powerhouse,outofstate,0
Apple Valley,Octas,72,3,Marquette University GP,Marquette University,male,145.4,0,Minnesota,Wisconsin,2018,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,89,3,Marquette University HL,Marquette University,male,140.8,0,Minnesota,Wisconsin,NA,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,10,6,Millard North GB,Millard North,male,144.5,0,Minnesota,Nebraska,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,51,4,Millard North PK,Millard North,female,143.1,0,Minnesota,Nebraska,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,120,2,Milton AV,Milton,male,138.9,0,Minnesota,Georgia,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,5,6,Mission San Jose LS,Mission San Jose,female,145.8,0,Minnesota,California,2018,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,31,5,Mission San Jose PB,Mission San Jose,male,143.7,0,Minnesota,California,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,85,3,Mission San Jose RS,Mission San Jose,male,141,0,Minnesota,California,2018,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,3,6,Mission San Jose SS,Mission San Jose,male,147,0,Minnesota,California,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,98,3,Mission San Jose SSa,Mission San Jose,female,139.7,0,Minnesota,California,2018,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,52,4,Mountain View DZ,Mountain View,male,143,0,Minnesota,California,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,93,3,Mountain View KX,Mountain View,female,140.3,0,Minnesota,California,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,128,2,Mountain View VP,Mountain View,male,137.2,0,Minnesota,California,2019,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,70,4,Mountain View VPe,Mountain View,female,139.6,0,Minnesota,California,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,131,1,New Trier CW,New Trier,female,140.2,0,Minnesota,Illinois,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,94,3,New Trier LK,New Trier,male,140.2,0,Minnesota,Illinois,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,102,3,New Trier NK,New Trier,female,139.1,0,Minnesota,Illinois,2016,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,113,2,New Trier SI,New Trier,male,140,0,Minnesota,Illinois,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,59,4,North Atlanta AM,North Atlanta,female,142.5,0,Minnesota,Georgia,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,11,6,Northland Christian ML,Northland Christian,female,142.3,0,Minnesota,Texas,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,109,2,Northland Christian MP,Northland Christian,female,141.2,0,Minnesota,Texas,2017,0,non-Powerhouse,outofstate,0
Apple Valley,Octas,106,3,Palo Alto CF,Palo Alto,male,137.6,0,Minnesota,California,2017,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,54,4,Palo Alto GC,Palo Alto,male,142.9,0,Minnesota,California,2016,1,non-Powerhouse,outofstate,0
Apple Valley,Octas,79,3,Presentation AS,Presentation,female,141.7,0,Minnesota,California,2017,0,non-Powerhouse,outofstate,0
