tournament,code,bid,seed,rWon,school,gender,speaks,phouse,location,state,grad,trips,doubs,octas,quarters,semis,finals,numGender,facPhouse,numInstate,facInstate
Grapevine,Denver East MD,Semis,91,1,Denver East,male,83.3,0,Texas,Colorado,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Desert Oasis MB,Semis,97,1,Desert Oasis,male,82,0,Texas,Nevada,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Dulles AW,Semis,28,3,Dulles,male,86.9,0,Texas,Texas,2017,NA,0,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Dulles KL,Semis,33,3,Dulles,female,86.2,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Dulles KS,Semis,10,4,Dulles,male,87.7,0,Texas,Texas,2016,NA,1,1,0,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Dulles NB,Semis,12,4,Dulles,male,87.2,0,Texas,Texas,2016,NA,1,1,1,1,0,1,nonpowerhouse,1,instate
Grapevine,Edmond North AL,Semis,86,1,Edmond North,male,84,0,Texas,Oklahoma,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Edmond North AP,Semis,43,3,Edmond North,male,84.8,0,Texas,Oklahoma,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Edmond North PL,Semis,54,2,Edmond North,female,85.4,0,Texas,Oklahoma,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,0,outofstate
Grapevine,Edmond North PY,Semis,72,2,Edmond North,female,83.7,0,Texas,Oklahoma,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,0,outofstate
Grapevine,Edmond Santa Fe IM,Semis,14,4,Edmond Santa Fe,male,86.6,0,Texas,Oklahoma,2016,NA,0,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Edmond Santa Fe NR,Semis,103,0,Edmond Santa Fe,male,80.5,0,Texas,Oklahoma,2018,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Edmond Santa Fe RM,Semis,104,0,Edmond Santa Fe,male,80.5,0,Texas,Oklahoma,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Episcopal AB,Semis,19,4,Episcopal,male,85.2,0,Texas,Texas,2016,NA,1,0,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Greenhill BB,Semis,73,2,Greenhill,female,83.6,1,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,powerhouse,1,instate
Grapevine,Greenhill BE,Semis,1,5,Greenhill,male,89,1,Texas,Texas,2016,NA,1,1,1,0,-1,1,powerhouse,1,instate
Grapevine,Greenhill GB,Semis,7,4,Greenhill,male,89,1,Texas,Texas,2016,NA,1,0,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Greenhill SA,Semis,66,2,Greenhill,female,84.2,1,Texas,Texas,2018,NA,-1,-1,-1,-1,-1,0,powerhouse,1,instate
Grapevine,Greenhill SK,Semis,67,2,Greenhill,female,84.1,1,Texas,Texas,2018,NA,-1,-1,-1,-1,-1,0,powerhouse,1,instate
Grapevine,Harker ZD,Semis,41,3,Harker,male,85.1,0,Texas,California,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Harvard-Westlake EZ,Semis,77,2,Harvard-Westlake,male,82.9,1,Texas,California,2019,NA,-1,-1,-1,-1,-1,1,powerhouse,0,outofstate
Grapevine,Harvard-Westlake MG,Semis,57,2,Harvard-Westlake,male,85,1,Texas,California,2019,NA,-1,-1,-1,-1,-1,1,powerhouse,0,outofstate
Grapevine,Harvard-Westlake SP,Semis,48,3,Harvard-Westlake,male,84.1,1,Texas,California,2019,NA,-1,-1,-1,-1,-1,1,powerhouse,0,outofstate
Grapevine,Harvard-Westlake VC,Semis,76,2,Harvard-Westlake,male,83,1,Texas,California,2019,NA,-1,-1,-1,-1,-1,1,powerhouse,0,outofstate
Grapevine,Hebron AN,Semis,42,3,Hebron,male,84.8,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Hebron AS,Semis,49,3,Hebron,male,83.7,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Hebron SM,Semis,84,1,Hebron,female,84.6,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Hockaday ED,Semis,32,3,Hockaday,female,86.3,0,Texas,Texas,2017,NA,0,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Hockaday KK,Semis,26,3,Hockaday,female,87,0,Texas,Texas,2017,NA,0,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Hockaday LJ,Semis,38,3,Hockaday,female,85.6,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Hockaday SM,Semis,64,2,Hockaday,female,84.3,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Holy Cross RS,Semis,50,3,Holy Cross,male,83.7,0,Texas,Louisianna,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Holy Cross TL,Semis,40,3,Holy Cross,male,85.1,0,Texas,Louisianna,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Houston Memorial AF,Semis,102,0,Houston Memorial,male,81.9,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Houston Memorial CC,Semis,81,2,Houston Memorial,female,82.2,0,Texas,Texas,2018,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Houston Memorial PK,Semis,25,3,Houston Memorial,male,87.1,0,Texas,Texas,2016,NA,0,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Katy Taylor AW,Semis,61,2,Katy Taylor,female,84.6,0,Texas,Texas,2018,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,keller NH,Semis,59,2,keller,male,84.9,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Kingwood RG,Semis,45,3,Kingwood,male,84.6,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Kinkaid AK,Semis,70,2,Kinkaid,male,83.8,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Kinkaid JY,Semis,20,4,Kinkaid,male,85,0,Texas,Texas,2017,NA,1,0,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Kinkaid SS,Semis,47,3,Kinkaid,male,84.1,0,Texas,Texas,NA,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Lake Travis KE,Semis,44,3,Lake Travis,female,84.8,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Lake Travis RH,Semis,83,2,Lake Travis,female,82.1,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Law Magnet CL,Semis,87,1,Law Magnet,female,83.9,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Law Magnet DD,Semis,6,4,Law Magnet,male,89.5,0,Texas,Texas,2016,NA,1,1,1,0,-1,1,nonpowerhouse,1,instate
Grapevine,Law Magnet DR,Semis,85,1,Law Magnet,male,84.5,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Law Magnet JM,Semis,39,3,Law Magnet,male,85.2,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Liberty Christian BS,Semis,16,4,Liberty Christian,female,86,0,Texas,Texas,2016,NA,0,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Marcus LH,Semis,13,4,Marcus,female,86.7,0,Texas,Texas,2016,NA,0,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Marcus NS,Semis,92,1,Marcus,male,83.2,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Marcus SR,Semis,65,2,Marcus,female,84.3,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Marcus ST,Semis,89,1,Marcus,female,83.5,0,Texas,Texas,2018,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Montgomery MB,Semis,18,4,Montgomery,male,85.6,0,Texas,Texas,2016,NA,0,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Montgomery RM,Semis,62,2,Montgomery,female,84.5,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Montgomery WP,Semis,8,4,Montgomery,male,88.6,0,Texas,Texas,2017,NA,1,1,0,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Norman CS,Semis,46,3,Norman,female,84.2,0,Texas,Oklahoma,2018,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,0,outofstate
Grapevine,Norman DZ,Semis,95,1,Norman,female,82.3,0,Texas,Oklahoma,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,0,outofstate
Grapevine,Norman KH,Semis,52,2,Norman,female,85.8,0,Texas,Oklahoma,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,0,outofstate
Grapevine,North Mesquite MK,Semis,100,0,North Mesquite,female,83.5,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Northland Christian ML,Semis,30,3,Northland Christian,female,86.7,0,Texas,Texas,2017,NA,0,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Northland Christian MP,Semis,15,4,Northland Christian,female,86.1,0,Texas,Texas,2017,NA,1,0,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Plano East Senior AB,Semis,36,3,Plano East Senior,female,85.8,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Plano East Senior AK,Semis,17,4,Plano East Senior,male,85.9,0,Texas,Texas,2016,NA,1,0,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Plano East Senior DR,Semis,96,1,Plano East Senior,male,82,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Plano Senior EJ,Semis,60,2,Plano Senior,female,84.7,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Plano Senior ES,Semis,37,3,Plano Senior,male,85.8,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Prosper ZE,Semis,82,2,Prosper,male,82.2,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Reagan FK,Semis,74,2,Reagan,male,83.6,0,Texas,Texas,2018,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Reagan RV,Semis,101,0,Reagan,female,82.7,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Ryan AP,Semis,99,1,Ryan,female,81.4,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,St. Andrew's Episcopal BM,Semis,80,2,St. Andrew's Episcopal,female,82.5,0,Texas,Mississippi,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,0,outofstate
Grapevine,Strake Jesuit CP AS,Semis,51,3,Strake Jesuit CP,male,83.6,1,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Strake Jesuit CP KF,Semis,29,3,Strake Jesuit CP,male,86.7,1,Texas,Texas,2016,NA,0,-1,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Strake Jesuit CP ML,Semis,34,3,Strake Jesuit CP,male,86,1,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Strake Jesuit CP RB,Semis,5,5,Strake Jesuit CP,male,86.5,1,Texas,Texas,2016,NA,1,0,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Strake Jesuit CP RC,Semis,3,5,Strake Jesuit CP,male,87.7,1,Texas,Texas,2017,NA,1,1,0,-1,-1,1,powerhouse,1,instate
Grapevine,Strake Jesuit CP SM,Semis,2,5,Strake Jesuit CP,male,88.1,1,Texas,Texas,2016,NA,1,1,1,1,1,1,powerhouse,1,instate
Grapevine,Strake Jesuit CP WL,Semis,22,4,Strake Jesuit CP,male,84.7,1,Texas,Texas,2017,NA,0,-1,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Tom C. Clark SC,Semis,63,2,Tom C. Clark,female,84.4,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Westlake DB,Semis,23,3,Westlake,male,88.4,1,Texas,Texas,2016,NA,0,-1,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Westlake VM,Semis,21,4,Westlake,male,84.9,1,Texas,Texas,2016,NA,0,-1,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Westlake VR,Semis,71,2,Westlake,male,83.8,1,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,1,powerhouse,1,instate
Grapevine,Westwood NS,Semis,35,3,Westwood,female,85.9,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Westwood SD,Semis,55,2,Westwood,female,85.2,0,Texas,Texas,2016,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Westwood SM,Semis,58,2,Westwood,male,85,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Westwood SN,Semis,27,3,Westwood,male,87,0,Texas,Texas,2017,NA,0,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Winston Churchill JL,Semis,53,2,Winston Churchill,male,85.5,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Winston Churchill KH,Semis,24,3,Winston Churchill,female,87.3,0,Texas,Texas,2016,NA,0,-1,-1,-1,-1,0,nonpowerhouse,1,instate
