code,tournament,bid,seed,rWon,school,gender,speaks,phouse,location,state,grad,numGender,facPhouse,facInstate,numInstate,trips,doubs,octas,quarters,semis,finals,elimsw,gotBid,facGotBid
Mountain View DL,Alta,Quarters,67,3,Mountain View,male,110.9,0,Utah,Idaho,2018,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Mountain View MFi,Alta,Quarters,85,2,Mountain View,female,110.7,0,Utah,Idaho,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Presentation AA,Alta,Quarters,94,2,Presentation,female,108,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Sage Ridge SD,Alta,Quarters,88,2,Sage Ridge,female,109.7,0,Utah,Nevada,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Salem Hills ML,Alta,Quarters,111,1,Salem Hills,male,106.5,0,Utah,Utah,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Sky View JE,Alta,Quarters,91,2,Sky View,male,109.3,0,Utah,Utah,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
West CC,Alta,Quarters,71,3,West,female,110.5,0,Utah,Utah,2018,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Albany EK,Alta,Quarters,36,4,Albany,female,112.9,0,Utah,California,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Bingham KB,Alta,Quarters,92,2,Bingham,female,109.2,0,Utah,Utah,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Boise AH,Alta,Quarters,98,2,Boise,female,107.5,0,Utah,Idaho,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Boise KJ,Alta,Quarters,93,2,Boise,male,108,0,Utah,Idaho,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
College Prep DB,Alta,Quarters,39,4,College Prep,female,112.4,0,Utah,California,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Copper Hills LM,Alta,Quarters,54,3,Copper Hills,female,112.9,0,Utah,Utah,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagle CW,Alta,Quarters,70,3,Eagle,female,110.6,0,Utah,Idaho,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
East WH,Alta,Quarters,86,2,East,male,110.4,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eastside Catholic DC,Alta,Quarters,78,2,Eastside Catholic,male,113.8,0,Utah,Washington,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
George Washington CO CB,Alta,Quarters,69,3,George Washington CO,female,110.6,0,Utah,Colorado,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Green River SK,Alta,Quarters,105,1,Green River,male,110.1,0,Utah,Wyoming,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harvard-Westlake CE,Alta,Quarters,8,5,Harvard-Westlake,male,116.3,1,Utah,California,2017,1,Powerhouse,outofstate,0,NA,1,1,1,1,0,4,1,Bid
Harvard-Westlake EE,Alta,Quarters,10,5,Harvard-Westlake,male,116.1,1,Utah,California,2017,1,Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Harvard-Westlake LY,Alta,Quarters,48,3,Harvard-Westlake,female,114.2,1,Utah,California,2017,0,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Hunter AD,Alta,Quarters,64,3,Hunter,female,111.1,0,Utah,Utah,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Kent Denver OW,Alta,Quarters,109,1,Kent Denver,male,108.5,0,Utah,Colorado,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Layton ZB,Alta,Quarters,52,3,Layton,male,113,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Logan AW,Alta,Quarters,66,3,Logan,male,111,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Logan CW,Alta,Quarters,34,4,Logan,male,113.7,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Logan YB,Alta,Quarters,89,2,Logan,female,109.5,0,Utah,Utah,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Loyola BS,Alta,Quarters,9,5,Loyola,male,116.2,1,Utah,California,2017,1,Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Loyola DW,Alta,Quarters,20,4,Loyola,male,115.5,1,Utah,California,2017,1,Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Maesar Prep JH,Alta,Quarters,17,4,Maesar Prep,male,116.8,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Marlborough GK,Alta,Quarters,18,4,Marlborough,female,116.4,0,Utah,California,2017,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Marlborough LG,Alta,Quarters,4,5,Marlborough,female,117.5,0,Utah,California,2017,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Meadows ER,Alta,Quarters,47,3,Meadows,male,114.3,0,Utah,Nevada,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Mission San Jose PB,Alta,Quarters,1,6,Mission San Jose,male,117.8,0,Utah,California,2017,1,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Northland Christian ML,Alta,Quarters,21,4,Northland Christian,female,115.3,0,Utah,Texas,2017,0,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Northland Christian MP,Alta,Quarters,28,4,Northland Christian,female,114.5,0,Utah,Texas,2017,0,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Palo Alto (Independent) CFe,Alta,Quarters,43,4,Palo Alto (Independent),male,110.9,0,Utah,California,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Presentation AS,Alta,Quarters,56,3,Presentation,female,112.7,0,Utah,California,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Presentation KS,Alta,Quarters,33,4,Presentation,female,113.8,0,Utah,California,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Renaissance JM,Alta,Quarters,45,3,Renaissance,male,116,0,Utah,Idaho,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Rowland Hall-St. Mark's EC,Alta,Quarters,77,3,Rowland Hall-St. Mark's,female,105,0,Utah,Utah,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Rowland Hall-St. Mark's KO,Alta,Quarters,6,5,Rowland Hall-St. Mark's,male,116.8,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,1,1,0,-1,-1,0,1,Bid
Rowland Hall-St. Mark's LC,Alta,Quarters,27,4,Rowland Hall-St. Mark's,female,114.5,0,Utah,Utah,2017,0,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Sage Ridge AC,Alta,Quarters,60,3,Sage Ridge,male,112,0,Utah,Nevada,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Sky View AP,Alta,Quarters,110,1,Sky View,female,107.4,0,Utah,Utah,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Sky View JK,Alta,Quarters,42,4,Sky View,male,112,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Summit Academy CM,Alta,Quarters,95,2,Summit Academy,male,108,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Timpview HF,Alta,Quarters,113,1,Timpview,female,105,0,Utah,Utah,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
West MT,Alta,Quarters,15,5,West,male,113.8,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
West NC,Alta,Quarters,14,5,West,male,114.6,0,Utah,Utah,2017,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Wood River AL,Alta,Quarters,106,1,Wood River,male,109.7,0,Utah,Idaho,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Wood River LW,Alta,Quarters,74,3,Wood River,female,110.1,0,Utah,Idaho,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Aspen ED,Alta,Quarters,102,1,Aspen,female,110.7,0,Utah,Colorado,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Bingham NR,Alta,Quarters,55,3,Bingham,male,112.8,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brighton DW,Alta,Quarters,117,0,Brighton,male,98.5,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brighton ZS,Alta,Quarters,30,4,Brighton,male,114,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Centennial DR,Alta,Quarters,84,2,Centennial,male,110.8,0,Utah,Idaho,2016,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Centennial KM,Alta,Quarters,50,3,Centennial,female,114.1,0,Utah,Idaho,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Copper Hills AC,Alta,Quarters,57,3,Copper Hills,female,112.7,0,Utah,Utah,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Copper Hills NS,Alta,Quarters,62,3,Copper Hills,female,111.9,0,Utah,Utah,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Douglas BK,Alta,Quarters,87,2,Douglas,female,110,0,Utah,Wyoming,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagle MD,Alta,Quarters,38,4,Eagle,female,112.5,0,Utah,Idaho,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagle MM,Alta,Quarters,80,2,Eagle,female,112.72,0,Utah,Idaho,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
East NO,Alta,Quarters,44,4,East,male,110.9,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eastside Catholic NM,Alta,Quarters,29,4,Eastside Catholic,male,114.3,0,Utah,Washington,2016,1,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Harvard-Westlake NS,Alta,Quarters,16,4,Harvard-Westlake,male,117.6,1,Utah,California,2016,1,Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
Hunter MH,Alta,Quarters,79,2,Hunter,male,113,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Jordan JK,Alta,Quarters,72,3,Jordan,male,110.1,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Juan Diego Catholic CS,Alta,Quarters,81,2,Juan Diego Catholic,female,111.5,0,Utah,Utah,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Loyola AP,Alta,Quarters,2,6,Loyola,male,116.7,0,Utah,California,2016,1,non-Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
Loyola ZM,Alta,Quarters,24,4,Loyola,male,114.7,1,Utah,California,2016,1,Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Lynbrook SS,Alta,Quarters,46,3,Lynbrook Independent,female,114.6,0,Utah,California,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough AG,Alta,Quarters,5,5,Marlborough,female,117.12,0,Utah,California,2016,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Meadows LS,Alta,Quarters,3,5,Meadows,male,118,0,Utah,Nevada,2016,1,non-Powerhouse,outofstate,0,NA,1,1,1,0,-1,2,1,Bid
Meadows SK,Alta,Quarters,19,4,Meadows,female,115.8,0,Utah,Nevada,2016,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Palo Alto (Independent) AM,Alta,Quarters,23,4,Palo Alto (Independent),male,115.1,0,Utah,California,2016,1,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Palo Alto (Independent) GC,Alta,Quarters,37,4,Palo Alto (Independent),male,112.5,0,Utah,California,2016,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Presentation MS,Alta,Quarters,11,5,Presentation,female,115.9,0,Utah,California,2016,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Presentation RG,Alta,Quarters,22,4,Presentation,female,115.2,0,Utah,California,2016,0,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Renaissance NS,Alta,Quarters,51,3,Renaissance,female,113.7,0,Utah,Idaho,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Salem Hills MA,Alta,Quarters,108,1,Salem Hills,male,108.5,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Skyline EF,Alta,Quarters,32,4,SkylineUT,male,113.96,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Summit Academy BM,Alta,Quarters,58,3,Summit Academy,female,112.5,0,Utah,Utah,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Summit Academy JP,Alta,Quarters,61,3,Summit Academy,male,112,0,Utah,Utah,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harvard Westlake CE,Apple Valley,Octas,17,5,Harvard-Westlake,male,146,1,Minnesota,California,NA,1,Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Harvard Westlake EE,Apple Valley,Octas,23,5,Harvard-Westlake,male,145.4,1,Minnesota,California,NA,1,Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Marquette University HL,Apple Valley,Octas,89,3,Marquette University,male,140.8,0,Minnesota,Wisconsin,NA,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
West Des Moines Valley AJ,Apple Valley,Octas,119,2,West Des Moines Valley,male,138.9,1,Minnesota,Iowa,NA,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Mountain View VP,Apple Valley,Octas,128,2,Mountain View,male,137.2,0,Minnesota,California,2019,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
West Des Moines Valley CT,Apple Valley,Octas,49,4,West Des Moines Valley,male,143.2,1,Minnesota,Iowa,2019,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
American Heritage AD,Apple Valley,Octas,66,4,American Heritage Boca Delray,male,141.8,0,Minnesota,Florida,2018,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
College Prep ZD,Apple Valley,Octas,60,4,College Prep,female,142.5,0,Minnesota,California,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Greenhill SA,Apple Valley,Octas,107,2,Greenhill,female,142.3,1,Minnesota,Texas,2018,0,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Greenhill SK,Apple Valley,Octas,76,3,Greenhill,female,142.1,1,Minnesota,Texas,2018,0,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Hockaday KB,Apple Valley,Octas,121,2,Hockaday,female,138.8,0,Minnesota,Texas,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Lake Highland Prep AA,Apple Valley,Octas,24,5,Lake Highland Prep,male,145.3,1,Minnesota,Florida,2018,1,Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Loyola HF,Apple Valley,Octas,139,0,Loyola,male,137.9,1,Minnesota,California,2018,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marquette University GP,Apple Valley,Octas,72,3,Marquette University,male,145.4,0,Minnesota,Wisconsin,2018,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Mission San Jose LS,Apple Valley,Octas,5,6,Mission San Jose,female,145.8,0,Minnesota,California,2018,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,1,Bid
Mission San Jose RS,Apple Valley,Octas,85,3,Mission San Jose,male,141,0,Minnesota,California,2018,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Mission San Jose SSa,Apple Valley,Octas,98,3,Mission San Jose,female,139.7,0,Minnesota,California,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Rosemount JS,Apple Valley,Octas,134,1,Rosemount,male,138.6,0,Minnesota,Minnesota,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
St. Thomas EH,Apple Valley,Octas,136,1,St. Thomas,male,137.3,0,Minnesota,Texas,2018,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Strake Jesuit CP MC,Apple Valley,Octas,69,4,Strake Jesuit CP,male,140,1,Minnesota,Texas,2018,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Walt Whitman IL,Apple Valley,Octas,127,2,Walt Whitman,female,137.7,1,Minnesota,Maryland,2018,0,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
West Des Moines Valley KK,Apple Valley,Octas,73,3,West Des Moines Valley,male,142.8,1,Minnesota,Iowa,2018,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Appleton East JV,Apple Valley,Octas,129,2,Appleton East,male,132.8,0,Minnesota,Wisconsin,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Bettendorf RN,Apple Valley,Octas,124,2,Bettendorf,male,138.6,0,Minnesota,Iowa,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Bronx Science GM,Apple Valley,Octas,39,4,Bronx Science,male,144.5,0,Minnesota,New York,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Bronx Science ZP,Apple Valley,Octas,14,5,Bronx Science,female,146.3,0,Minnesota,New York,2017,0,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Cedar Park MG,Apple Valley,Octas,25,5,Cedar Park HS Speech/Debate,male,145.2,0,Minnesota,Texas,2017,1,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Cedar Park MT,Apple Valley,Octas,130,1,Cedar Park HS Speech/Debate,female,141.2,0,Minnesota,Texas,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
College Prep DB,Apple Valley,Octas,75,3,College Prep,female,142.57,0,Minnesota,California,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Dougherty Valley CS,Apple Valley,Octas,40,4,Dougherty Valley,female,144.1,0,Minnesota,California,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Dowling Catholic JO,Apple Valley,Octas,47,4,Dowling Catholic,female,143.2,0,Minnesota,Iowa,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagan BP,Apple Valley,Octas,82,3,Eagan,male,141.3,0,Minnesota,Minnesota,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Evanston Township GH,Apple Valley,Octas,111,2,Evanston Township,male,140.4,0,Minnesota,Illinois,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
