"","code","tournament","bid","seed","rWon","school","gender","speaks","phouse","location","state","grad","numGender","facPhouse","facInstate","numInstate","trips","doubs","octas","quarters","semis","finals","elimsw"
"20","American Heritage Plantation DM","Yale","Quarters",15,5,"American Heritage Plantation","male",115.9,0,"Connecticut","Florida","2018",1,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"21","American Heritage Plantation JY","Yale","Quarters",62,3,"American Heritage Plantation","male",113.8,0,"Connecticut","Florida","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"22","Anders BD","UT","Semis",54,3,"Anderson","female",87.2,0,"Texas","Texas","2018",0,"non-Powerhouse","instate",1,0,-1,-1,-1,-1,-1,-5
"23","Anders IS","UT","Semis",11,5,"Anderson","male",85,0,"Texas","Texas","2017",1,"non-Powerhouse","instate",1,1,0,-1,-1,-1,-1,-3
"24","Anders JT","UT","Semis",64,3,"Anderson","male",86.3,0,"Texas","Texas","2017",1,"non-Powerhouse","instate",1,0,-1,-1,-1,-1,-1,-5
"25","Anderson BD","St. Marks","Octas",81,2,"Anderson","female",111.3,0,"Texas","Texas","2018",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"26","Anderson IS","Glenbrooks","Octas",126,3,"Anderson","male",139.5,0,"Illinois","Texas","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"27","Anderson IS","Grapevine","Semis",75,2,"Anderson","male",83.5,0,"Texas","Texas","2017",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"28","Anderson JB","St. Marks","Octas",94,1,"Anderson","male",109.74,0,"Texas","Texas","2017",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"29","Anderson JT","Glenbrooks","Octas",99,3,"Anderson","male",142.9,0,"Illinois","Texas","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"30","Anderson JT","Grapevine","Semis",98,1,"Anderson","male",81.6,0,"Texas","Texas","2017",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"31","Ann Richards AM","St. Marks","Octas",74,2,"Ann Richards","female",113,0,"Texas","Texas","2017",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"32","AnnRic AM","UT","Semis",25,4,"Ann Richards","female",87,0,"Texas","Texas","2017",0,"non-Powerhouse","instate",1,0,-1,-1,-1,-1,-1,-5
"33","AnnRic CT","UT","Semis",152,2,"Ann Richards","female",82.9,0,"Texas","Texas","2016",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"34","Apple Valley CH","Blake","Quarters",32,4,"Apple Valley","female",113.7,0,"Minnesota","Minnesota","2016",0,"non-Powerhouse","instate",1,NA,0,-1,-1,-1,-1,-4
"35","Apple Valley CH","Valley","Octas",50,3,"Apple Valley","female",114.8,0,"Iowa","Minnesota","2016",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"36","Apple Valley CR","Blake","Quarters",80,2,"Apple Valley","female",110.4,0,"Minnesota","Minnesota","2018",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"37","Apple Valley CR","Valley","Octas",92,2,"Apple Valley","male",112.7,0,"Iowa","Minnesota","2018",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"38","Apple Valley HD","Greenhill","Octas",47,3,"Apple Valley","male",113.6,0,"Texas","Minnesota","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"39","Apple Valley HD","Valley","Octas",47,4,"Apple Valley","male",113.5,0,"Iowa","Minnesota","2017",1,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"40","Apple Valley JB","Blake","Quarters",31,4,"Apple Valley","male",114.4,0,"Minnesota","Minnesota","2017",1,"non-Powerhouse","instate",1,NA,1,0,-1,-1,-1,-2
"41","Apple Valley JB","Glenbrooks","Octas",57,4,"Apple Valley","male",144.3,0,"Illinois","Minnesota","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"42","Apple Valley JB","St. Marks","Octas",26,4,"Apple Valley","male",115.1,0,"Texas","Minnesota","2017",1,"non-Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"43","Apple Valley JB","Valley","Octas",39,4,"Apple Valley","male",114.4,0,"Iowa","Minnesota","2017",1,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"44","Apple Valley KA","Blake","Quarters",37,4,"Apple Valley","male",112,0,"Minnesota","Minnesota","2018",1,"non-Powerhouse","instate",1,NA,0,-1,-1,-1,-1,-4
"45","Apple Valley KA","Valley","Octas",75,3,"Apple Valley","male",112.5,0,"Iowa","Minnesota","2018",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"46","Apple Valley PH","Glenbrooks","Octas",37,5,"Apple Valley","male",144.5,0,"Illinois","Minnesota","2016",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"47","Apple Valley PH","Greenhill","Octas",36,3,"Apple Valley","male",114.9,0,"Texas","Minnesota","2016",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"48","Apple Valley PH","St. Marks","Octas",8,5,"Apple Valley","male",116.4,0,"Texas","Minnesota","2016",1,"non-Powerhouse","outofstate",0,NA,1,1,0,-1,-1,0
"49","Apple Valley PH","Valley","Octas",24,4,"Apple Valley","male",115.8,0,"Iowa","Minnesota","2016",1,"non-Powerhouse","outofstate",0,1,0,-1,-1,-1,-1,-3
"50","Apple Valley SO","Blake","Quarters",8,5,"Apple Valley","female",116.6,0,"Minnesota","Minnesota","2016",0,"non-Powerhouse","instate",1,NA,1,0,-1,-1,-1,-2
"51","Apple Valley SO","Glenbrooks","Octas",95,3,"Apple Valley","female",143.4,0,"Illinois","Minnesota","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"52","Apple Valley SO","Greenhill","Octas",35,3,"Apple Valley","female",115,0,"Texas","Minnesota","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"53","Apple Valley SO","Valley","Octas",58,3,"Apple Valley","female",113.5,0,"Iowa","Minnesota","2016",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"54","Apple Valley TE","Blake","Quarters",62,3,"Apple Valley","female",109.5,0,"Minnesota","Minnesota","2018",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"55","Apple Valley TE","Valley","Octas",110,2,"Apple Valley","female",110.4,0,"Iowa","Minnesota","2018",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"56","Apple Valley YS","Valley","Octas",127,1,"Apple Valley","male",107.3,0,"Iowa","Minnesota","2017",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"57","Appleton East HS (A) JV","Glenbrooks","Octas",130,3,"Appleton East HS (A)","male",139,0,"Illinois","Wisconsin","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"58","Appleton East JV","Apple Valley","Octas",129,2,"Appleton East","male",132.8,0,"Minnesota","Wisconsin","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"59","Appleton East JV","Blake","Quarters",99,0,"Appleton East","male",110.1,0,"Minnesota","Wisconsin","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"60","Arcadia KW","Alta","Quarters",49,3,"Arcadia","female",114.2,0,"Utah","California",NA,0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"61","Arcadia VL","Alta","Quarters",35,4,"Arcadia","male",113,0,"Utah","California","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"62","Arcadia VL","Hollywood","Finals",27,3,"Arcadia","male",114.1,0,"California","California","2018",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"63","Arcadia VL","Meadows","Quarters",48,2,"Arcadia","male",116.6,0,"Nevada","California","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"64","Ardrey Kell GD","Wake Forest","Finals",6,5,"Ardrey Kell","female",113,0,"North Carolina","North Carolina","2016",0,"non-Powerhouse","instate",1,NA,1,0,-1,-1,-1,-2
"65","Asheville CD","Wake Forest","Finals",40,2,"Asheville","female",112.8,0,"North Carolina","North Carolina","2017",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"66","Asheville LB","Wake Forest","Finals",41,2,"Asheville","female",112.2,0,"North Carolina","North Carolina","2017",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"67","Aspen ED","Alta","Quarters",102,1,"Aspen","female",110.7,0,"Utah","Colorado","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"68","Barbers Hill AH","Strake Jesuit","Semis",49,2,"Barbers Hill","female",111.4,0,"Texas","Texas","2016",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"69","BarHil AH","UT","Semis",86,3,"Barbers Hill","female",84.8,0,"Texas","Texas","2016",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"70","BarHil LW","UT","Semis",81,3,"Barbers Hill","female",85.2,0,"Texas","Texas","2018",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"71","Barrington ER","Valley","Octas",105,2,"Barrington","male",110.84,0,"Iowa","Illinois","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"72","Barrington HS","Apple Valley","Octas",64,4,"Barrington","male",142.3,0,"Minnesota","Illinois","2016",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"73","Barrington HS","Bronx","Octas",74,4,"Barrington","male",141.4,0,"New York","Illinois","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"74","Barrington HS","Valley","Octas",73,3,"Barrington","male",112.6,0,"Iowa","Illinois","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"75","Barrington JH","Apple Valley","Octas",41,4,"Barrington","male",144.1,0,"Minnesota","Illinois","2016",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"76","Barrington JH","Bronx","Octas",111,3,"Barrington","male",140.1,0,"New York","Illinois","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"77","Barrington JH","Valley","Octas",69,3,"Barrington","male",112.8,0,"Iowa","Illinois","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"78","Barrington RJ","Apple Valley","Octas",80,3,"Barrington","male",141.7,0,"Minnesota","Illinois","2016",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"79","Barrington SN","Apple Valley","Octas",63,4,"Barrington","female",142.4,0,"Minnesota","Illinois","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"80","Barrington SN","Bronx","Octas",70,4,"Barrington","female",142,0,"New York","Illinois","2016",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"81","Barrington SN","Valley","Octas",41,4,"Barrington","female",114.3,0,"Iowa","Illinois","2016",0,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"82","Barrington TC","Valley","Octas",98,2,"Barrington","female",111.48,0,"Iowa","Illinois","2017",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"83","Barrington VA","Bronx","Octas",60,4,"Barrington","male",143,0,"New York","Illinois","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"84","Barrington VA","Valley","Octas",17,5,"Barrington","male",114.5,0,"Iowa","Illinois","2016",1,"non-Powerhouse","outofstate",0,1,1,0,-1,-1,-1,-1
"85","BASIS Independent Silicon Valley EK","College Prep","Quarters",69,3,"BASIS Independent Silicon Valley","male",112,0,"California","California","2018",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"86","BASIS Independent Silicon Valley MK","College Prep","Quarters",95,2,"BASIS Independent Silicon Valley","female",110.4,0,"California","California","2018",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"87","Beckman JP","Hollywood","Finals",23,4,"Beckman","female",112.9,0,"California","California","2018",0,"non-Powerhouse","instate",1,NA,0,-1,-1,-1,-1,-4
"88","Beckman KM","Hollywood","Finals",59,1,"Beckman","male",110.1,0,"California","California","2019",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"89","Benjamin Franklin Higbh MB","Holy Cross","Finals",16,3,"Benjamin Franklin Higbh","male",167.5,0,"Louisianna",NA,NA,1,"non-Powerhouse",NA,NA,NA,NA,-1,-1,-1,-1,-4
"90","Benjamin Franklin Higbh SF","Holy Cross","Finals",5,5,"Benjamin Franklin Higbh","male",172.7,0,"Louisianna",NA,NA,1,"non-Powerhouse",NA,NA,NA,NA,1,0,-1,-1,-1
"91","Benjamin Franklin SF","Glenbrooks","Octas",53,4,"Benjamin Franklin","male",144.7,0,"Illinois",NA,NA,1,"non-Powerhouse",NA,NA,NA,-1,-1,-1,-1,-1,-5
"92","Bentley KS","College Prep","Quarters",68,3,"Bentley","female",112,0,"California","California","2017",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"93","Berkne MS","UT","Semis",158,2,"Berkner","male",82.4,0,"Texas","Texas","2018",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"94","Bettendorf AW","Valley","Octas",131,0,"Bettendorf","male",108.1,0,"Iowa","Iowa","2018",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"95","Bettendorf RN","Apple Valley","Octas",124,2,"Bettendorf","male",138.6,0,"Minnesota","Iowa","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"96","Bettendorf RN","Blake","Quarters",56,3,"Bettendorf","male",111.5,0,"Minnesota","Iowa","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"97","Bettendorf RN","Bronx","Octas",141,2,"Bettendorf","male",139,0,"New York","Iowa","2017",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"98","Bettendorf RN","Glenbrooks","Octas",121,3,"Bettendorf","male",140.6,0,"Illinois","Iowa","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"99","Bettendorf RN","Valley","Octas",116,1,"Bettendorf","male",111.3,0,"Iowa","Iowa","2017",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"100","Bingham KB","Alta","Quarters",92,2,"Bingham","female",109.2,0,"Utah","Utah","2017",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"101","Bingham NR","Alta","Quarters",55,3,"Bingham","male",112.8,0,"Utah","Utah","2016",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"102","Blaine GG","Apple Valley","Octas",132,1,"Blaine","male",140,0,"Minnesota","Minnesota","2016",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"103","Blaine HP","Blake","Quarters",84,2,"Blaine","female",108.8,0,"Minnesota","Minnesota","2016",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"104","Blaine HPR","Apple Valley","Octas",68,4,"Blaine","female",141.1,0,"Minnesota","Minnesota","2016",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"105","Blaine KD","Blake","Quarters",68,2,"Blaine","female",112.9,0,"Minnesota","Minnesota","2016",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"106","Boca Raton Community BF","Wake Forest","Finals",18,4,"Boca Raton Community","male",112,0,"North Carolina","Florida","2016",1,"non-Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"107","Boca Raton Community NM","Grapevine","Semis",78,2,"Boca Raton Community","male",82.8,0,"Texas","Florida","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"108","Boca Raton Community OL","Bronx","Octas",168,1,"Boca Raton Community","male",136.9,0,"New York","Florida","2018",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"109","Boca Raton Community OL","Wake Forest","Finals",54,1,"Boca Raton Community","male",109.6,0,"North Carolina","Florida","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"110","BoeCha JH","UT","Semis",180,1,"Boerne Champion","male",84.7,0,"Texas",NA,NA,1,"non-Powerhouse",NA,NA,-1,-1,-1,-1,-1,-1,-6
"111","BoeCha NG","UT","Semis",178,1,"Boerne Champion","male",85.4,0,"Texas",NA,NA,1,"non-Powerhouse",NA,NA,-1,-1,-1,-1,-1,-1,-6
"112","Boise AH","Alta","Quarters",98,2,"Boise","female",107.5,0,"Utah","Idaho","2017",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"113","Boise KJ","Alta","Quarters",93,2,"Boise","male",108,0,"Utah","Idaho","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"114","Brentwood AR","Meadows","Quarters",58,2,"Brentwood","male",112.8,1,"Nevada","California","2019",1,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"115","Brentwood CH","College Prep","Quarters",28,4,"Brentwood","female",115.3,1,"California","California","2016",0,"Powerhouse","instate",1,1,0,-1,-1,-1,-1,-3
"116","Brentwood CH","Loyola","Semis",17,4,"Brentwood","female",114.8,1,"California","California","2016",0,"Powerhouse","instate",1,NA,0,-1,-1,-1,-1,-4
"117","Brentwood EB","College Prep","Quarters",84,2,"Brentwood","female",112.2,1,"California","California","2018",0,"Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"118","Brentwood EB","Glenbrooks","Octas",127,3,"Brentwood Middle","female",139.4,1,"Illinois","California","2019",0,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"119","Brentwood EB","Hollywood","Finals",46,2,"Brentwood","female",112,1,"California","California","2018",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"120","Brentwood EBl","Bronx","Octas",148,2,"Brentwood","female",137.6,1,"New York","California","2019",0,"Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"121","Brentwood EBl","Hollywood","Finals",25,3,"Brentwood","female",114.4,1,"California","California","2019",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"122","Brentwood EL","Bronx","Octas",144,2,"Brentwood","female",138.7,1,"New York","California","2018",0,"Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"123","Brentwood EL","College Prep","Quarters",57,3,"Brentwood","female",113.3,1,"California","California","2018",0,"Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"124","Brentwood EL","Glenbrooks","Octas",90,4,"Brentwood Middle","female",139.2,1,"Illinois","California","2018",0,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"125","Brentwood EL","Hollywood","Finals",33,3,"Brentwood","female",112.8,1,"California","California","2018",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"126","Brentwood EL","Loyola","Semis",47,2,"Brentwood","female",112.1,1,"California","California","2018",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"127","Brentwood JD","Bronx","Octas",167,1,"Brentwood","male",137.2,1,"New York","California","2018",1,"Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"128","Brentwood JD","College Prep","Quarters",67,3,"Brentwood","male",112.1,1,"California","California","2018",1,"Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"129","Brentwood JD","Glenbrooks","Octas",140,2,"Brentwood Middle","male",141.17,1,"Illinois","California","2018",1,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"130","Brentwood JD","Hollywood","Finals",35,3,"Brentwood","male",112.6,1,"California","California","2018",1,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"131","Brentwood JDe","Loyola","Semis",61,1,"Brentwood","male",109.5,1,"California","California","2018",1,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"132","Brentwood JR","College Prep","Quarters",43,3,"Brentwood","male",115.8,1,"California","California","2016",1,"Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"133","Brentwood JR","Hollywood","Finals",4,5,"Brentwood","male",117.1,1,"California","California","2016",1,"Powerhouse","instate",1,NA,1,1,1,0,-1,2
"134","Brentwood JR","Loyola","Semis",10,4,"Brentwood","male",115.6,1,"California","California","2016",1,"Powerhouse","instate",1,NA,1,0,-1,-1,-1,-2
"135","Brentwood KM","Bronx","Octas",151,2,"Brentwood","female",137.2,1,"New York","California","2018",0,"Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"136","Brentwood KM","College Prep","Quarters",102,1,"Brentwood","female",112.1,1,"California","California","2018",0,"Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"137","Brentwood KM","Glenbrooks","Octas",159,2,"Brentwood Middle","female",138.4,1,"Illinois","California","2018",0,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"138","Brentwood KM","Loyola","Semis",55,2,"Brentwood","female",110.4,1,"California","California","2018",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"139","Brentwood LR","Bronx","Octas",147,2,"Brentwood","female",137.7,1,"New York","California","2019",0,"Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"140","Brentwood LR","Meadows","Quarters",67,0,"Brentwood","female",113.17,1,"Nevada","California","2019",0,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"141","Brentwood RY","Bronx","Octas",131,3,"Brentwood","male",137.5,1,"New York","California","2019",1,"Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"142","Brentwood RY","College Prep","Quarters",48,3,"Brentwood","male",114.2,1,"California","California","2019",1,"Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"143","Brentwood RY","Hollywood","Finals",28,3,"Brentwood","male",114,1,"California","California","2019",1,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"144","Brentwood RY","Meadows","Quarters",38,3,"Brentwood","male",116.07,1,"Nevada","California","2019",1,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"145","Brentwood WJ","Bronx","Octas",132,3,"Brentwood","male",137.4,1,"New York","California","2018",1,"Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"146","Brentwood WJ","College Prep","Quarters",37,4,"Brentwood","male",114.1,1,"California","California","2018",1,"Powerhouse","instate",1,0,-1,-1,-1,-1,-1,-5
"147","Brentwood WJ","Hollywood","Finals",17,4,"Brentwood","male",114.2,1,"California","California","2018",1,"Powerhouse","instate",1,NA,1,0,-1,-1,-1,-2
"148","Brentwood WJ","Loyola","Semis",54,2,"Brentwood","male",110.5,1,"California","California","2018",1,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"149","Brentwood WJ","Meadows","Quarters",60,1,"Brentwood","male",117,1,"Nevada","California","2018",1,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"150","Brentwood WL","Hollywood","Finals",42,3,"Brentwood","male",110.8,1,"California","California","2018",1,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"151","Bridgewater Raritan JB","Princeton","Semis",137,1,"Bridgewater Raritan","female",110,0,"New Jersey","New Jersey","2017",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
